DATE_ID,FULL_DATE,DAY_VALUE,WEEKDAY_NAME,IS_WEEKDAY,MONTH_VALUE,MONTH_NAME,FIRST_DAY_OF_MONTH,LAST_DAY_OF_MONTH,QUARTER_VALUE,FIRST_DAY_OF_QUARTER,LAST_DAY_OF_QUARTER,FIRST_DAY_OF_YEAR,LAST_DAY_OF_YEAR
20190302,2019-03-02,2,Saturday,0,3,March,20190301,20190331,1,20190101,20190331,20190101,20191231
20190303,2019-03-03,3,Sunday,0,3,March,20190301,20190331,1,20190101,20190331,20190101,20191231
20190304,2019-03-04,4,Monday,1,3,March,20190301,20190331,1,20190101,20190331,20190101,20191231
20190305,2019-03-05,5,Tuesday,1,3,March,20190301,20190331,1,20190101,20190331,20190101,20191231
20190306,2019-03-06,6,Wednesday,1,3,March,20190301,20190331,1,20190101,20190331,20190101,20191231
20190307,2019-03-07,7,Thursday,1,3,March,20190301,20190331,1,20190101,20190331,20190101,20191231
20190308,2019-03-08,8,Friday,1,3,March,20190301,20190331,1,20190101,20190331,20190101,20191231
20190309,2019-03-09,9,Saturday,0,3,March,20190301,20190331,1,20190101,20190331,20190101,20191231
20190310,2019-03-10,10,Sunday,0,3,March,20190301,20190331,1,20190101,20190331,20190101,20191231
20190311,2019-03-11,11,Monday,1,3,March,20190301,20190331,1,20190101,20190331,20190101,20191231
20190312,2019-03-12,12,Tuesday,1,3,March,20190301,20190331,1,20190101,20190331,20190101,20191231
20190313,2019-03-13,13,Wednesday,1,3,March,20190301,20190331,1,20190101,20190331,20190101,20191231
20190314,2019-03-14,14,Thursday,1,3,March,20190301,20190331,1,20190101,20190331,20190101,20191231
20190315,2019-03-15,15,Friday,1,3,March,20190301,20190331,1,20190101,20190331,20190101,20191231
20190316,2019-03-16,16,Saturday,0,3,March,20190301,20190331,1,20190101,20190331,20190101,20191231
20190317,2019-03-17,17,Sunday,0,3,March,20190301,20190331,1,20190101,20190331,20190101,20191231
20190318,2019-03-18,18,Monday,1,3,March,20190301,20190331,1,20190101,20190331,20190101,20191231
20190319,2019-03-19,19,Tuesday,1,3,March,20190301,20190331,1,20190101,20190331,20190101,20191231
20190320,2019-03-20,20,Wednesday,1,3,March,20190301,20190331,1,20190101,20190331,20190101,20191231
20190321,2019-03-21,21,Thursday,1,3,March,20190301,20190331,1,20190101,20190331,20190101,20191231
20190322,2019-03-22,22,Friday,1,3,March,20190301,20190331,1,20190101,20190331,20190101,20191231
20190323,2019-03-23,23,Saturday,0,3,March,20190301,20190331,1,20190101,20190331,20190101,20191231
20190324,2019-03-24,24,Sunday,0,3,March,20190301,20190331,1,20190101,20190331,20190101,20191231
20190325,2019-03-25,25,Monday,1,3,March,20190301,20190331,1,20190101,20190331,20190101,20191231
20190326,2019-03-26,26,Tuesday,1,3,March,20190301,20190331,1,20190101,20190331,20190101,20191231
20190327,2019-03-27,27,Wednesday,1,3,March,20190301,20190331,1,20190101,20190331,20190101,20191231
20190328,2019-03-28,28,Thursday,1,3,March,20190301,20190331,1,20190101,20190331,20190101,20191231
20190329,2019-03-29,29,Friday,1,3,March,20190301,20190331,1,20190101,20190331,20190101,20191231
20190330,2019-03-30,30,Saturday,0,3,March,20190301,20190331,1,20190101,20190331,20190101,20191231
20190331,2019-03-31,31,Sunday,0,3,March,20190301,20190331,1,20190101,20190331,20190101,20191231
20190401,2019-04-01,1,Monday,1,4,April,20190401,20190430,2,20190401,20190630,20190101,20191231
20190402,2019-04-02,2,Tuesday,1,4,April,20190401,20190430,2,20190401,20190630,20190101,20191231
20190403,2019-04-03,3,Wednesday,1,4,April,20190401,20190430,2,20190401,20190630,20190101,20191231
20190404,2019-04-04,4,Thursday,1,4,April,20190401,20190430,2,20190401,20190630,20190101,20191231
20190405,2019-04-05,5,Friday,1,4,April,20190401,20190430,2,20190401,20190630,20190101,20191231
20190406,2019-04-06,6,Saturday,0,4,April,20190401,20190430,2,20190401,20190630,20190101,20191231
20190407,2019-04-07,7,Sunday,0,4,April,20190401,20190430,2,20190401,20190630,20190101,20191231
20190408,2019-04-08,8,Monday,1,4,April,20190401,20190430,2,20190401,20190630,20190101,20191231
20190409,2019-04-09,9,Tuesday,1,4,April,20190401,20190430,2,20190401,20190630,20190101,20191231
20190410,2019-04-10,10,Wednesday,1,4,April,20190401,20190430,2,20190401,20190630,20190101,20191231
20190411,2019-04-11,11,Thursday,1,4,April,20190401,20190430,2,20190401,20190630,20190101,20191231
20190412,2019-04-12,12,Friday,1,4,April,20190401,20190430,2,20190401,20190630,20190101,20191231
20190413,2019-04-13,13,Saturday,0,4,April,20190401,20190430,2,20190401,20190630,20190101,20191231
20190414,2019-04-14,14,Sunday,0,4,April,20190401,20190430,2,20190401,20190630,20190101,20191231
20190415,2019-04-15,15,Monday,1,4,April,20190401,20190430,2,20190401,20190630,20190101,20191231
20190416,2019-04-16,16,Tuesday,1,4,April,20190401,20190430,2,20190401,20190630,20190101,20191231
20190417,2019-04-17,17,Wednesday,1,4,April,20190401,20190430,2,20190401,20190630,20190101,20191231
20190418,2019-04-18,18,Thursday,1,4,April,20190401,20190430,2,20190401,20190630,20190101,20191231
20190419,2019-04-19,19,Friday,1,4,April,20190401,20190430,2,20190401,20190630,20190101,20191231
20190420,2019-04-20,20,Saturday,0,4,April,20190401,20190430,2,20190401,20190630,20190101,20191231
20190421,2019-04-21,21,Sunday,0,4,April,20190401,20190430,2,20190401,20190630,20190101,20191231
20190422,2019-04-22,22,Monday,1,4,April,20190401,20190430,2,20190401,20190630,20190101,20191231
20190423,2019-04-23,23,Tuesday,1,4,April,20190401,20190430,2,20190401,20190630,20190101,20191231
20190424,2019-04-24,24,Wednesday,1,4,April,20190401,20190430,2,20190401,20190630,20190101,20191231
20190425,2019-04-25,25,Thursday,1,4,April,20190401,20190430,2,20190401,20190630,20190101,20191231
20190426,2019-04-26,26,Friday,1,4,April,20190401,20190430,2,20190401,20190630,20190101,20191231
20190427,2019-04-27,27,Saturday,0,4,April,20190401,20190430,2,20190401,20190630,20190101,20191231
20190428,2019-04-28,28,Sunday,0,4,April,20190401,20190430,2,20190401,20190630,20190101,20191231
20190429,2019-04-29,29,Monday,1,4,April,20190401,20190430,2,20190401,20190630,20190101,20191231
20190430,2019-04-30,30,Tuesday,1,4,April,20190401,20190430,2,20190401,20190630,20190101,20191231
20190501,2019-05-01,1,Wednesday,1,5,May,20190501,20190531,2,20190401,20190630,20190101,20191231
20190502,2019-05-02,2,Thursday,1,5,May,20190501,20190531,2,20190401,20190630,20190101,20191231
20190503,2019-05-03,3,Friday,1,5,May,20190501,20190531,2,20190401,20190630,20190101,20191231
